iter	Logloss
0	0.6637265244
1	0.6368051624
2	0.6109809235
3	0.5879583425
4	0.566372258
5	0.5471086562
6	0.5304002378
7	0.5153778738
8	0.5006905687
9	0.4866592751
10	0.4736512113
11	0.4619911805
12	0.451346019
13	0.4415213294
14	0.4324910252
15	0.4242906339
16	0.4171723852
17	0.4104811324
18	0.4041275455
19	0.3980458106
20	0.3923594888
21	0.3866692369
22	0.3817369203
23	0.3769335931
24	0.3722630395
25	0.3683413224
26	0.3642844264
27	0.3605860318
28	0.3572336951
29	0.3540578617
30	0.3517064617
31	0.3497164177
32	0.346702142
33	0.3443705678
34	0.3419340444
35	0.339064354
36	0.3367811937
37	0.3347176222
38	0.3337776527
39	0.3315078955
40	0.3299380508
41	0.3281549948
42	0.326694877
43	0.3246766298
44	0.323301453
45	0.3214808892
46	0.3203690672
47	0.3194048122
48	0.3179220616
49	0.3166120239
50	0.3154693451
51	0.3141563974
52	0.3132447826
53	0.3123487603
54	0.3111959575
55	0.3100862955
56	0.3091067421
57	0.3084514844
58	0.307658878
59	0.3067105096
60	0.3060420261
61	0.3052068061
62	0.3046265858
63	0.30370573
64	0.3030299215
65	0.3025228629
66	0.3018794485
67	0.3013431158
68	0.3006266016
69	0.2999620904
70	0.2992511666
71	0.2985681613
72	0.2979499874
73	0.2969845096
74	0.2963840821
75	0.2959211472
76	0.2954133041
77	0.2947447119
78	0.2942641073
79	0.2935723492
80	0.2930421872
81	0.2925379831
82	0.2918862276
83	0.2910251624
84	0.2906338052
85	0.2902501236
86	0.289345897
87	0.2888673486
88	0.2884953885
89	0.2876778095
90	0.2872634948
91	0.2868785204
92	0.2863118764
93	0.2859395714
94	0.2855576039
95	0.2849899995
96	0.2845406535
97	0.2842983649
98	0.283914788
99	0.2834559123
100	0.2830913201
101	0.282795211
102	0.2823533911
103	0.2819078724
104	0.2811905529
105	0.2806881042
106	0.2801865517
107	0.2797680418
108	0.2794428803
109	0.2791044663
110	0.2788207495
111	0.2784018964
112	0.2778654678
113	0.2775794832
114	0.277121859
115	0.2766167203
116	0.276302044
117	0.2758706404
118	0.275628527
119	0.2751097176
120	0.2748680932
121	0.2746248531
122	0.274355039
123	0.273926415
124	0.2736904931
125	0.2733878425
126	0.2730437689
127	0.2728114861
128	0.2722340075
129	0.2716888052
130	0.2712788623
131	0.2709196529
132	0.2704771241
133	0.2701633836
134	0.2696869688
135	0.2694321318
136	0.2689911828
137	0.2686399562
138	0.26825037
139	0.2679686944
140	0.2674930927
141	0.2672673084
142	0.2668267666
143	0.2666024018
144	0.2661807708
145	0.2659020842
146	0.2656399485
147	0.2650234658
148	0.264245977
149	0.2640533438
150	0.2635800097
151	0.2633868494
152	0.2631700696
153	0.2628481844
154	0.2624782639
155	0.2621566072
156	0.2619473385
157	0.261609628
158	0.2613566626
159	0.2610842831
160	0.2608470482
161	0.2603752097
162	0.2601515569
163	0.2599955472
164	0.2597606014
165	0.2596341071
166	0.2593479757
167	0.258984658
168	0.2586171358
169	0.2582022969
170	0.258009121
171	0.2578476405
172	0.2575459748
173	0.2571252823
174	0.2568283548
175	0.2565817036
176	0.2563028518
177	0.2560375228
178	0.2556013846
179	0.2553985433
180	0.2551046576
181	0.2549342271
182	0.254444297
183	0.2542999979
184	0.2541169285
185	0.253997753
186	0.2535824087
187	0.2533145688
188	0.253105293
189	0.2526851577
190	0.2522147181
191	0.2519187285
192	0.2516776202
193	0.2514584714
194	0.2511659676
195	0.2509066076
196	0.2505430514
197	0.2503091017
198	0.2499187062
199	0.2496924504
200	0.2494293136
201	0.2492289962
202	0.248962205
203	0.248700302
204	0.2485292764
205	0.2481575012
206	0.2478142324
207	0.2474869578
208	0.2472161791
209	0.2469991216
210	0.2467668799
211	0.2463461099
212	0.2462089219
213	0.2460638391
214	0.2457518016
215	0.2453698376
216	0.2451636484
217	0.244990673
218	0.2448219578
219	0.2446352424
220	0.2443265633
221	0.2441317301
222	0.2437362469
223	0.24358508
224	0.2433415098
225	0.2431006343
226	0.2428739945
227	0.2426757435
228	0.2423596764
229	0.2421156669
230	0.2419218418
231	0.241695878
232	0.2415317069
233	0.2413398461
234	0.2411876286
235	0.2409062069
236	0.2406827554
237	0.2404782474
238	0.2403633311
239	0.2401683267
240	0.2399895149
241	0.2398087223
242	0.2395453118
243	0.2392591408
244	0.2389778898
245	0.2387565834
246	0.2385344047
247	0.2382272424
248	0.2379534657
249	0.2377307197
250	0.2373993635
251	0.2372524818
252	0.2370240295
253	0.2367934467
254	0.2366139163
255	0.2363885522
256	0.2362775695
257	0.2361724179
258	0.235834129
259	0.2356095928
260	0.2354494574
261	0.2351202284
262	0.2348405158
263	0.2346506877
264	0.2344915665
265	0.2342161912
266	0.2341222242
267	0.2337898834
268	0.233588925
269	0.233332607
270	0.2332159103
271	0.2330849157
272	0.2328934996
273	0.2327056018
274	0.2324966674
275	0.2323795169
276	0.2320204204
277	0.2318829775
278	0.2317393557
279	0.2315936389
280	0.2313280422
281	0.2310594075
282	0.230877431
283	0.2306238768
284	0.2304273801
285	0.2303114075
286	0.2300409183
287	0.2299031369
288	0.2297733981
289	0.2295879871
290	0.2294136303
291	0.2292257573
292	0.2291110451
293	0.2289420369
294	0.2287882266
295	0.2285998007
296	0.2283955071
297	0.2282339265
298	0.2279808249
299	0.227810062
300	0.2274941896
301	0.2273346727
302	0.227148911
303	0.2270352659
304	0.2268999595
305	0.2266326419
306	0.2265238139
307	0.2261482932
308	0.2258657628
309	0.2256420149
310	0.2254769899
311	0.2252768446
312	0.2251708092
313	0.2250552993
314	0.2248963327
315	0.2247463373
316	0.2245420899
317	0.2243526822
318	0.224153211
319	0.2238684355
320	0.2237600029
321	0.2235278758
322	0.2233626261
323	0.2231868192
324	0.2228955373
325	0.2227312854
326	0.2224918716
327	0.2223008935
328	0.2221248932
329	0.2220181647
330	0.2219041306
331	0.2217792527
332	0.2215663149
333	0.2213647864
334	0.2211504748
335	0.2209478871
336	0.2208578019
337	0.2205720732
338	0.2204322229
339	0.2201664683
340	0.2200340283
341	0.2199014636
342	0.2197433349
343	0.2195804492
344	0.2193885568
345	0.2192519732
346	0.219116672
347	0.2188106102
348	0.2186274853
349	0.2182512164
350	0.2181448496
351	0.217945395
352	0.2177584109
353	0.2175948131
354	0.2173638356
355	0.2172739006
356	0.2169877181
357	0.2167698499
358	0.2165867174
359	0.216409021
360	0.2161207363
361	0.2159558789
362	0.2157755964
363	0.215551061
364	0.2151956126
365	0.2150426679
366	0.2148607533
367	0.2147432618
368	0.2145930287
369	0.2144077304
370	0.2141514782
371	0.2138221114
372	0.2136346642
373	0.213456131
374	0.2132789411
375	0.2131755014
376	0.212946162
377	0.2128257243
